Budget currency,Date,Week,Month,Year,Hour,Advertiser account name,Advertiser account ID,Ad product,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Campaign budget amount,Campaign bid strategy,Campaign rule amount,Campaign cost type,Campaign delivery status,Ad group ID,Ad group name,Ad group delivery status,Advertised product ID,Advertised product SKU,Placement Name,Placement size,Site or app,Placement classification,Target value,Target match type,Search term,Matched target,Impressions,Invalid impression rate,Clicks,Invalid clicks,Viewable CTR (vCTR),CTR,CPC,Viewable rate,Viewable impressions,Total cost,Purchases (all views),Sales (all views),Units sold (all views),Cost per purchase (all views),Purchase rate (all views),Purchase rate over clicks (all views),ROAS (all views),Purchases (new to brand),Purchase rate (new to brand),Detail page views,"Purchases (halo, all views)","Sales (halo, all views)","Units sold (halo, all views)",Detail page view rate,Add to cart,Add to list,Long-term sales,Long-term ROAS,Purchases (combined),ROAS (combined),ROAS from clicks (combined),Sales (combined),Units sold (combined),Cost per purchase (combined),Purchase rate (combined)
USD,"Jan 24, 2026",4,1,2026,2,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,198811013273586,B0F74W7RWV - Ninja Cups for Blender,"=""504836135698034""",SP Kw Br 18+oz+blender+cups - B0F74W7RWV,20,legacy,,CPC,ENABLED,"=""295912504223243""",SP Kw Br 18+oz+blender+cups - B0F74W7RWV,ENABLED,B0F74W7RWV,RQ-FY2C-TUV2,UNKNOWN,,Unknown,Top of Search on-Amazon,18+oz+blender+cups,BROAD,18 oz ninja blender cups replacement original,18 oz ninja blender cups replacement original,1,0.0%,1,0,,100.0%,0.67,,0,0.67,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
CAD,"Jan 24, 2026",4,1,2026,11,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,49109744470768,B0F74SWMRF - Stainless Steel Ninja,"=""329452129832225""",Sp Auto Cm Lm - B0F74SWMRF,5,legacy,,CPC,ENABLED,"=""290786861312830""",Sp Auto Cm Lm - B0F74SWMRF,ENABLED,B0F74SWMRF,Y8-KE0U-XGKZ,UNKNOWN,,Unknown,Top of Search on-Amazon,loose-match,TARGETING_EXPRESSION_PREDEFINED,ninja blender bn4,ninja blender bn4,1,0.0%,1,0,,100.0%,0.27,,0,0.27,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 20, 2026",4,1,2026,17,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,262970418448725,Scavengers and Tests Ketar,"=""423116379077948""",SP Pt Scavenger,7,legacy,,CPC,ENABLED,"=""351673424984431""",SP Pt Scavenger,ENABLED,B074T2FWJY,LB-SRU9-1SJI,UNKNOWN,,Unknown,Detail Page on-Amazon,"category=""Tea Filters""",TARGETING_EXPRESSION,B091L5BB8K,B091L5BB8K,2,0.0%,1,0,,50.0%,0.1,,0,0.1,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 23, 2026",4,1,2026,21,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,141786303486095,B074T2FWJY - Heart Tea Infuser,"=""416941836147775""",Sp Pt B091Z3G716 - B074T2FWJY,5,legacy,,CPC,ENABLED,"=""478962093707153""",Sp Pt B091Z3G716 - B074T2FWJY,ENABLED,B074T2FWJY,LB-SRU9-1SJI,UNKNOWN,,Unknown,Other on-Amazon,"asin=""B091Z3G716""",TARGETING_EXPRESSION,B091Z3G716,B091Z3G716,3,25.0%,1,0,,33.3333%,0.0,,0,0.0,0,0.0,0,,0.0%,0.0%,,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,,0,,,0.0,0,,0.0%
USD,"Jan 21, 2026",4,1,2026,9,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,90783874260603,B0FMYQSPHC -,"=""417858324749166""",Sp Kw Br +replacement+lid+owala - B0FMYQSPHC,10,legacy,,CPC,PAUSED,"=""458763568066502""",Sp Kw Br +replacement+lid+owala - B0FMYQSPHC,ENABLED,B0FMYQSPHC,QH-2BSG-CAN2,UNKNOWN,,Unknown,Other on-Amazon,+replacement+lid+owala,BROAD,owala smoothsip slider tops,owala smoothsip slider tops,2,0.0%,1,0,,50.0%,0.3,,0,0.3,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 22, 2026",4,1,2026,6,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,262970418448725,Scavengers and Tests Ketar,"=""423116379077948""",SP Pt Scavenger,7,legacy,,CPC,ENABLED,"=""351673424984431""",SP Pt Scavenger,ENABLED,B0F75V7P54,EL-EQQZ-EAJB,UNKNOWN,,Unknown,Detail Page on-Amazon,"asin-expanded=""B0D9VVHBQM""",TARGETING_EXPRESSION,B0FTTRWGMT,B0FTTRWGMT,1,0.0%,1,0,,100.0%,0.1,,0,0.1,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 23, 2026",4,1,2026,5,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,262970418448725,Scavengers and Tests Ketar,"=""423116379077948""",SP Pt Scavenger,7,legacy,,CPC,ENABLED,"=""351673424984431""",SP Pt Scavenger,ENABLED,B074T2FWJY,LB-SRU9-1SJI,UNKNOWN,,Unknown,Detail Page on-Amazon,"asin-expanded=""B08G17ZK4L""",TARGETING_EXPRESSION,B08G17ZK4L,B08G17ZK4L,2,0.0%,1,1,,50.0%,0.1,,0,0.1,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 20, 2026",4,1,2026,6,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,222549613359669,B0F74TJH24 - Ninja Replacement Blades,"=""423237183620109""",Sp Kw Ex ninja blades replacement - B0F74TJH24,5,legacy,,CPC,ENABLED,"=""371904437439285""",Sp Kw Ex ninja blades replacement - B0F74TJH24,ENABLED,B0F74TJH24,4C-RY24-QNAN,UNKNOWN,,Unknown,Detail Page on-Amazon,,,ninja blades replacement,ninja blades replacement,9,10.0%,1,0,,11.1111%,0.3,,0,0.3,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 26, 2026",5,1,2026,10,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,96587040378814,B0FNPJSJWY - 8 Pcs Glow in The Dark Sticky Balls,"=""515964761178225""",Sp Kw Ex Low Bid - B0FNPJSJWY,10,legacy,,CPC,ENABLED,"=""339970429502056""",Sp Kw Ex Low Bid - B0FNPJSJWY,ENABLED,B0FNPJSJWY,L5-0JB3-ZF3N,UNKNOWN,,Unknown,Detail Page on-Amazon,sticky ball ceiling,EXACT,sticky balls for ceiling,sticky balls for ceiling,18,0.0%,2,0,,11.1111%,0.25,,0,0.5,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 21, 2026",4,1,2026,18,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,141786303486095,B074T2FWJY - Heart Tea Infuser,"=""416941836147775""",Sp Pt B091Z3G716 - B074T2FWJY,5,legacy,,CPC,ENABLED,"=""478962093707153""",Sp Pt B091Z3G716 - B074T2FWJY,ENABLED,B074T2FWJY,LB-SRU9-1SJI,UNKNOWN,,Unknown,Detail Page on-Amazon,"asin=""B091Z3G716""",TARGETING_EXPRESSION,B091Z3G716,B091Z3G716,5,0.0%,1,0,,20.0%,0.22,,0,0.22,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
