Budget currency,Date,Week,Month,Year,Hour,Advertiser account name,Advertiser account ID,Ad product,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Campaign budget amount,Campaign bid strategy,Campaign rule amount,Campaign cost type,Campaign delivery status,Ad group ID,Ad group name,Ad group delivery status,Advertised product ID,Advertised product SKU,Placement Name,Placement size,Site or app,Placement classification,Target value,Target match type,Search term,Matched target,Impressions,Invalid impression rate,Clicks,Invalid clicks,Viewable CTR (vCTR),CTR,CPC,Viewable rate,Viewable impressions,Total cost,Purchases (all views),Sales (all views),Units sold (all views),Cost per purchase (all views),Purchase rate (all views),Purchase rate over clicks (all views),ROAS (all views),Purchases (new to brand),Purchase rate (new to brand),Detail page views,"Purchases (halo, all views)","Sales (halo, all views)","Units sold (halo, all views)",Detail page view rate,Add to cart,Add to list,Long-term sales,Long-term ROAS,Purchases (combined),ROAS (combined),ROAS from clicks (combined),Sales (combined),Units sold (combined),Cost per purchase (combined),Purchase rate (combined)
USD,"Jan 26, 2026",5,1,2026,10,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,141786303486095,B074T2FWJY - Heart Tea Infuser,"=""559097248370412""",SP Kw Br Tos tea+infusers - B074T2FWJY,5,legacy,,CPC,ENABLED,"=""552327702284296""",SP Kw Br tea+infusers - B074T2FWJY,ENABLED,B074T2FWJY,LB-SRU9-1SJI,,,,Detail Page on-Amazon,tea+infusers,BROAD,tea infuser spoon bulk,tea infuser spoon bulk,0,,0,0,,,,,0,0.0,1,28.05,3,0.0,,,,0,,0,0,0.0,0,,0,0,28.05,,1,,,28.05,3,0.0,
USD,"Jan 20, 2026",4,1,2026,9,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Brands,220004347573435,SB - Product Collections Ketar,"=""52856964365632""",SB Pr Col Kw Br Owala Lids - B0FMYQSPHC,10,unknown,,CPC,PAUSED,"=""553820293883634""",SB Pr Col Kw Br Owala Lids - B0FMYQSPHC,ENABLED,B0FMYSZ585,,,,,Top of Search on-Amazon,owala+lid+replacement,BROAD,owala replacement lids,owala replacement lids,0,,0,0,,,,,0,0.0,1,8.95,1,0.0,,,,1,,1,0,0.0,0,,1,0,9.25,,1,,,8.95,1,0.0,
USD,"Jan 24, 2026",4,1,2026,8,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,206589068159462,B0F74RXW97 - Ninja Blender Blade Replacement for 72 oz Pitcher,"=""540379563866839""",Sp Kw Br - B0F74RXW97,5,legacy,,CPC,ENABLED,"=""359441389050999""",Sp Kw Br - B0F74RXW97,ENABLED,B0F74RXW97,MO-5EME-L6U2,,,,Top of Search on-Amazon,,,ninja 72 oz blades,ninja 72 oz blades,0,,0,0,,,,,0,0.0,1,17.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,17.66,,1,,,17.99,1,0.0,
USD,"Jan 25, 2026",4,1,2026,10,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,68925360001158,B0F74SWMRF - Ninja Blender Blade Replacement - 7-Fin,"=""37803562969861""",Sp Kw Br ninja blades replacement - B0F74SWMRF,5,legacy,,CPC,ENABLED,"=""300736397690508""",Sp Kw Br ninja blades replacement - B0F74SWMRF,ENABLED,B0F74SWMRF,MA-7YSQ-QFAK,,,,Other on-Amazon,,,original ninja replacement blades,original ninja replacement blades,0,,0,0,,,,,0,0.0,1,16.95,1,0.0,,,,0,,0,1,16.95,1,,0,0,16.62,,1,,,16.95,1,0.0,
USD,"Jan 20, 2026",4,1,2026,13,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,206589068159462,B0F74RXW97 - Ninja Blender Blade Replacement for 72 oz Pitcher,"=""540379563866839""",Sp Kw Br - B0F74RXW97,5,legacy,,CPC,ENABLED,"=""359441389050999""",Sp Kw Br - B0F74RXW97,ENABLED,B0F74RXW97,MO-5EME-L6U2,,,,Top of Search on-Amazon,,,ninja blender blade replacement for 72 oz pitcher 6 blade stainless steel ninja blender replacement,ninja blender blade replacement for 72 oz pitcher 6 blade stainless steel ninja blender replacement,0,,0,0,,,,,0,0.0,1,17.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,17.67,,1,,,17.99,1,0.0,
USD,"Jan 20, 2026",4,1,2026,11,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,62486252007954,B0DLR5LQM1 - Scoring Tools,"=""547677472875661""",Sp Auto CM - B0DLR5LQM1,5,legacy,,CPC,ENABLED,"=""302678729613481""",Sp Auto - B0DLR5LQM1,ENABLED,B0DLR5LQM1,C8-QXEL-FB0G,,,,Top of Search on-Amazon,close-match,TARGETING_EXPRESSION_PREDEFINED,scoring tool,scoring tool,0,,0,0,,,,,0,0.0,1,5.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,5.63,,1,,,5.95,1,0.0,
USD,"Jan 21, 2026",4,1,2026,11,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,164066805119664,B078WRV6W1 - Foldable Hair Brush Top,"=""555355422519387""",Sp Kw Scavenger - B078WRV6W1,5,legacy,,CPC,ENABLED,"=""542590697153392""",Sp Kw Scavenger - B078WRV6W1,ENABLED,B078WRV6W1,FD-8UKX-6LXG,,,,Other on-Amazon,hair brush,BROAD,hair brush,hair brush,0,,0,0,,,,,0,0.0,1,7.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,7.65,,1,,,7.99,1,0.0,
CAD,"Jan 22, 2026",4,1,2026,20,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,70494018595470,B0FBRRRV8P - ear covers,"=""480964604294138""",Sp Kw Auto Cm - B0FBRRRV8P,5,legacy,,CPC,ENABLED,"=""315727858275355""",Sp Kw Auto Cm - B0FBRRRV8P,ENABLED,B0FBRRRV8P,3L-3PRI-C4CQ,,,,Top of Search on-Amazon,close-match,TARGETING_EXPRESSION_PREDEFINED,shower ear covers,shower ear covers,0,,0,0,,,,,0,0.0,1,11.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,11.88,,1,,,11.99,1,0.0,
USD,"Jan 20, 2026",4,1,2026,12,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,90783874260603,B0FMYQSPHC -,"=""372701013925762""",Sp Kw Ex [Vykupy] owala top replacement - B0FMYQSPHC,10,legacy,,CPC,PAUSED,"=""536898274426393""",Sp Kw Ex [Vykupy] owala top replacement - B0FMYQSPHC -,ENABLED,B0FMYQSPHC,QH-2BSG-CAN2,,,,Top of Search on-Amazon,owala top replacement,EXACT,owala top replacement,owala top replacement,0,,0,0,,,,,0,0.0,1,8.95,1,0.0,,,,0,,0,1,8.95,1,,0,0,8.62,,1,,,8.95,1,0.0,
USD,"Jan 25, 2026",4,1,2026,19,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,23346572396872,B08V85NWJS - Foot Covers 200,"=""385062736732867""",Sp Kw Ex lotion socks - B08V85NWJS,2,legacy,,CPC,ENABLED,"=""388029381607431""",B08V85NWJS-SP-Ext-lotion socks,ENABLED,B08V85NWJS,W3-JH40-WU6D,,,,Top of Search on-Amazon,lotion socks,EXACT,lotion sock,lotion sock,0,,0,0,,,,,0,0.0,1,11.99,1,0.0,,,,0,,0,1,11.99,1,,0,0,11.99,,1,,,11.99,1,0.0,
USD,"Jan 20, 2026",4,1,2026,8,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Brands,135041252058689,B0FBRRRV8P - Ear Covers,"=""472737763512983""",SBV Kw Br ear cover for shover - B0FBRRRV8P,10,manual,1500000,CPC,ENABLED,"=""508561452032111""",SBV Kw Br ear cover for shover - B0FBRRRV8P,ENABLED,,,,,,Other on-Amazon,ear cover for shover,BROAD,ear cover for shower,ear cover for shower,0,,0,0,,,,,0,0.0,1,8.99,1,0.0,,,,1,,3,0,0.0,0,,2,0,9.29,,1,,,8.99,1,0.0,
USD,"Jan 23, 2026",4,1,2026,15,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,96587040378814,B0FNPJSJWY - 8 Pcs Glow in The Dark Sticky Balls,"=""515964761178225""",Sp Kw Ex Low Bid - B0FNPJSJWY,10,legacy,,CPC,ENABLED,"=""339970429502056""",Sp Kw Ex Low Bid - B0FNPJSJWY,ENABLED,B0FNPJSJWY,L5-0JB3-ZF3N,,,,Top of Search on-Amazon,sticky ball ceiling,EXACT,sticky balls for ceiling,sticky balls for ceiling,0,,0,0,,,,,0,0.0,1,8.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,8.66,,1,,,8.99,1,0.0,
USD,"Jan 22, 2026",4,1,2026,14,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,262970418448725,Scavengers and Tests Ketar,"=""423116379077948""",SP Pt Scavenger,7,legacy,,CPC,ENABLED,"=""351673424984431""",SP Pt Scavenger,ENABLED,B074T2FWJY,LB-SRU9-1SJI,,,,Detail Page on-Amazon,"category=""Tea Filters""",TARGETING_EXPRESSION,B091L5BB8K,B091L5BB8K,0,,0,0,,,,,0,0.0,1,9.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,9.63,,1,,,9.95,1,0.0,
USD,"Jan 25, 2026",4,1,2026,8,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Brands,220004347573435,SB - Product Collections Ketar,"=""45581331649981""",SB Prod Col Tea and Coffee Items - B074T2FWJY,5,manual,,CPC,ENABLED,"=""424572662727013""",SB Prod Col Tea and Coffee Items - B074T2FWJY,ENABLED,,,,,,Top of Search on-Amazon,keywords-related-to-your-landing-pages,THEME,infuser,infuser,0,,0,0,,,,,0,0.0,1,9.99,1,0.0,,,,1,,1,0,0.0,0,,1,0,10.28,,1,,,9.99,1,0.0,
USD,"Jan 20, 2026",4,1,2026,11,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,135041252058689,B0FBRRRV8P - Ear Covers,"=""363141083541516""",Sp Kw Ex Tos - ear covers for hair dye - B0FBRRRV8P,10,legacy,,CPC,ENABLED,"=""368144401564016""",Sp Kw Ex - ear covers for hair dye - B0FBRRRV8P,ENABLED,B0FBRRRV8P,XL-RQXL-73BS,,,,Top of Search on-Amazon,ear covers for hair dye,EXACT,ear covers for hair dye,ear covers for hair dye,0,,0,0,,,,,0,0.0,1,8.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,8.67,,1,,,8.99,1,0.0,
USD,"Jan 26, 2026",5,1,2026,15,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,222549613359669,B0F74TJH24 - Ninja Replacement Blades,"=""407587039105863""",SP Kw Br [Rule-based bidding - Roas 5] 7 fin ninja blender - B0F74TJH24,8,ruleBased,,CPC,ENABLED,"=""532241864093964""",SP Kw Br 7 fin ninja blender - B0F74TJH24,ENABLED,B0F74TJH24,4C-RY24-QNAN,,,,Top of Search on-Amazon,7 fin ninja blender,BROAD,ninja blender blade replacement 7 fin,ninja blender blade replacement 7 fin,0,,0,0,,,,,0,0.0,1,16.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,16.95,,1,,,16.95,1,0.0,
USD,"Jan 21, 2026",4,1,2026,18,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Brands,135041252058689,B0FBRRRV8P - Ear Covers,"=""472737763512983""",SBV Kw Br ear cover for shover - B0FBRRRV8P,10,manual,1500000,CPC,ENABLED,"=""508561452032111""",SBV Kw Br ear cover for shover - B0FBRRRV8P,ENABLED,,,,,,Top of Search on-Amazon,ear cover for shover,BROAD,silicone ear shower caps,silicone ear shower caps,0,,0,0,,,,,0,0.0,1,8.99,1,0.0,,,,1,,2,0,0.0,0,,1,0,9.22,,1,,,8.99,1,0.0,
USD,"Jan 22, 2026",4,1,2026,3,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,135041252058689,B0FBRRRV8P - Ear Covers,"=""457705959103787""",SP Auto CM - B0FBRRRV8P,10,legacy,,CPC,ENABLED,"=""351218643744751""",SP Auto CM - B0FBRRRV8P,ENABLED,B0FBRRRV8P,XL-RQXL-73BS,,,,Top of Search on-Amazon,close-match,TARGETING_EXPRESSION_PREDEFINED,ear covers for coloring hair,ear covers for coloring hair,0,,0,0,,,,,0,0.0,1,8.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,8.67,,1,,,8.99,1,0.0,
USD,"Jan 21, 2026",4,1,2026,14,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,39497612715221,B077TN5J8Y - pottery needle tool,"=""330880694426505""",SP Kw Ex - pottery needle tool - B077TN5J8Y,5,legacy,,CPC,ENABLED,"=""289026215358745""",SP Kw Ex - pottery needle tool - B077TN5J8Y,ENABLED,B077TN5J8Y,NL-9WA3-LNPV,,,,Detail Page on-Amazon,pottery needle tool,EXACT,pottery needle tool,pottery needle tool,0,,0,0,,,,,0,0.0,1,5.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,5.61,,1,,,5.95,1,0.0,
USD,"Jan 20, 2026",4,1,2026,15,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,135041252058689,B0FBRRRV8P - Ear Covers,"=""524220833177771""",SP Kw Tos - ear covers for shower - B0FBRRRV8P,15,legacy,,CPC,ENABLED,"=""474385609812229""",SP Kw - ear covers for shower - B0FBRRRV8P,ENABLED,B0FBRRRV8P,XL-RQXL-73BS,,,,Top of Search on-Amazon,ear covers for shower,EXACT,ear covers for shower,ear covers for shower,0,,0,0,,,,,0,0.0,1,8.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,8.67,,1,,,8.99,1,0.0,
USD,"Jan 22, 2026",4,1,2026,9,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,135041252058689,B0FBRRRV8P - Ear Covers,"=""524220833177771""",SP Kw Tos - ear covers for shower - B0FBRRRV8P,15,legacy,,CPC,ENABLED,"=""474385609812229""",SP Kw - ear covers for shower - B0FBRRRV8P,ENABLED,B0FBRRRV8P,XL-RQXL-73BS,,,,Top of Search on-Amazon,ear covers for shower,EXACT,ear covers for shower,ear covers for shower,0,,0,0,,,,,0,0.0,1,8.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,8.67,,1,,,8.99,1,0.0,
USD,"Jan 21, 2026",4,1,2026,8,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,224357461451146,B0DJT6KZPV - Stainless Steel Ice Pick,"=""458240779273032""",Sp Kw Ex Tos ice picks for breaking ice - B0DJT6KZPV,16,legacy,,CPC,ENABLED,"=""529213783804286""",Sp Kw Ex - ice picks for breaking ice - B0DJT6KZPV,ENABLED,B0DJT6KZPV,8P-WZQ9-1W3R,,,,Top of Search on-Amazon,ice picks for breaking ice,EXACT,ice picks for breaking ice,ice picks for breaking ice,0,,0,0,,,,,0,0.0,1,8.45,1,0.0,,,,0,,0,0,0.0,0,,0,0,8.11,,1,,,8.45,1,0.0,
USD,"Jan 21, 2026",4,1,2026,10,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,118163182088436,B0DT9QXCC3 - Pour Over Coffee Dripper,"=""423560911548046""",Sp Kw Scavenger - B0DT9QXCC3,5,legacy,,CPC,ENABLED,"=""368781255379665""",Sp Kw Scavenger - B0DT9QXCC3,ENABLED,B0DT9QXCC3,P7-IPNB-14CQ,,,,Other on-Amazon,pour over,PHRASE,pour over coffee maker,pour over coffee maker,0,,0,0,,,,,0,0.0,1,9.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,10.21,,1,,,9.99,1,0.0,
USD,"Jan 26, 2026",5,1,2026,10,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,164066805119664,B078WRV6W1 - Foldable Hair Brush Top,"=""387978419347220""",SP Kw Ex travel size hair brush - B078WRV6W1,5,legacy,,CPC,PAUSED,"=""460453039653919""",SP Kw Ex travel size hair brush - B078WRV6W1,ENABLED,B078WRV6W1,FD-8UKX-6LXG,,,,Top of Search on-Amazon,travel size hair brush,EXACT,travel size hair brushes,travel size hair brushes,0,,0,0,,,,,0,0.0,1,7.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,7.99,,1,,,7.99,1,0.0,
USD,"Jan 23, 2026",4,1,2026,19,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,224357461451146,B0DJT6KZPV - Stainless Steel Ice Pick,"=""458240779273032""",Sp Kw Ex Tos ice picks for breaking ice - B0DJT6KZPV,16,legacy,,CPC,ENABLED,"=""529213783804286""",Sp Kw Ex - ice picks for breaking ice - B0DJT6KZPV,ENABLED,B0DJT6KZPV,8P-WZQ9-1W3R,,,,Top of Search on-Amazon,ice picks for breaking ice,EXACT,ice picks for breaking ice,ice picks for breaking ice,0,,0,0,,,,,0,0.0,1,8.45,1,0.0,,,,0,,0,0,0.0,0,,0,0,8.12,,1,,,8.45,1,0.0,
USD,"Jan 25, 2026",4,1,2026,9,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,164066805119664,B078WRV6W1 - Foldable Hair Brush Top,"=""474307543277423""",SP Kw Ex foldable brush for purse - B078WRV6W1,5,legacy,,CPC,ENABLED,"=""494247637257509""",SP Kw Ex foldable brush for purse - B078WRV6W1,ENABLED,B078WRV6W1,FD-8UKX-6LXG,,,,Top of Search on-Amazon,foldable brush for purse,EXACT,foldable brush for purse,foldable brush for purse,0,,0,0,,,,,0,0.0,1,7.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,7.66,,1,,,7.99,1,0.0,
CAD,"Jan 20, 2026",4,1,2026,3,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,102242781023465,B0DT9QXCC3 - Pour Over Coffee Dripper,"=""22218124093664""",Sp Pt - B0DT9QXCC3,5,legacy,,CPC,ENABLED,"=""558259306520823""",Sp Pt - B0DT9QXCC3,ENABLED,B0DT9QXCC3,01-X8ZR-IKH2,,,,Top of Search on-Amazon,,,B0D66PRVZK,B0D66PRVZK,0,,0,0,,,,,0,0.0,1,19.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,19.91,,1,,,19.99,1,0.0,
USD,"Jan 24, 2026",4,1,2026,12,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Brands,220004347573435,SB - Product Collections Ketar,"=""426912518240951""",SB Prod Collection Paraffin Bags,10,unknown,,CPC,ENABLED,"=""553381897147793""",SB Prod Collection Paraffin Bags,ENABLED,,,,,,Other on-Amazon,parafina wax machine,EXACT,parafina wax machine,parafina wax machine,0,,0,0,,,,,0,0.0,2,16.27,2,0.0,,,,2,,4,0,0.0,0,,3,0,16.56,,2,,,16.27,2,0.0,
USD,"Jan 25, 2026",4,1,2026,17,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,141786303486095,B074T2FWJY - Heart Tea Infuser,"=""559097248370412""",SP Kw Br Tos tea+infusers - B074T2FWJY,5,legacy,,CPC,ENABLED,"=""552327702284296""",SP Kw Br tea+infusers - B074T2FWJY,ENABLED,B074T2FWJY,LB-SRU9-1SJI,,,,Other on-Amazon,tea+infusers,BROAD,loose tea spoon infuser,loose tea spoon infuser,0,,0,0,,,,,0,0.0,1,9.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,9.95,,1,,,9.95,1,0.0,
USD,"Jan 24, 2026",4,1,2026,7,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Brands,220004347573435,SB - Product Collections Ketar,"=""45581331649981""",SB Prod Col Tea and Coffee Items - B074T2FWJY,5,manual,,CPC,ENABLED,"=""424572662727013""",SB Prod Col Tea and Coffee Items - B074T2FWJY,ENABLED,,,,,,Top of Search on-Amazon,keywords-related-to-your-landing-pages,THEME,heart shaped tea infuser,heart shaped tea infuser,0,,0,0,,,,,0,0.0,0,0.0,0,,,,,0,,6,0,0.0,0,,0,1,0.62,,0,,,0.0,0,,
USD,"Jan 20, 2026",4,1,2026,4,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Brands,135041252058689,B0FBRRRV8P - Ear Covers,"=""472737763512983""",SBV Kw Br ear cover for shover - B0FBRRRV8P,10,manual,1500000,CPC,ENABLED,"=""508561452032111""",SBV Kw Br ear cover for shover - B0FBRRRV8P,ENABLED,,,,,,Other on-Amazon,ear cover for shover,BROAD,ear covers gor hair dying,ear covers gor hair dying,0,,0,0,,,,,0,0.0,1,8.99,1,0.0,,,,1,,1,0,0.0,0,,0,0,9.29,,1,,,8.99,1,0.0,
USD,"Jan 23, 2026",4,1,2026,14,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,135041252058689,B0FBRRRV8P - Ear Covers,"=""524220833177771""",SP Kw Tos - ear covers for shower - B0FBRRRV8P,15,legacy,,CPC,ENABLED,"=""474385609812229""",SP Kw - ear covers for shower - B0FBRRRV8P,ENABLED,B0FBRRRV8P,XL-RQXL-73BS,,,,Top of Search on-Amazon,ear covers for shower,EXACT,ear covers for shower,ear covers for shower,0,,0,0,,,,,0,0.0,1,8.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,8.66,,1,,,8.99,1,0.0,
USD,"Jan 23, 2026",4,1,2026,17,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,104012156039667,B0FVMLDMCD - Tea Diffusers for Loose Tea,"=""438060466676807""",SP Kw Br Ros +tea+infusers - B0FVMLDMCD,5,optimizeForSales,,CPC,PAUSED,"=""474168134796912""",SP Kw Br Ros +tea+infusers - B0FVMLDMCD,ENABLED,B0FVMLDMCD,EB-FPLL-MZ5E,,,,Detail Page on-Amazon,+tea+infusers,BROAD,teava 3-in-1 smart tea infuser,teava 3-in-1 smart tea infuser,0,,0,0,,,,,0,0.0,1,5.99,1,0.0,,,,0,,0,1,5.99,1,,0,0,5.6,,1,,,5.99,1,0.0,
USD,"Jan 25, 2026",4,1,2026,17,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,222549613359669,B0F74TJH24 - Ninja Replacement Blades,"=""446643782606080""",SP Kw Ex Tos - Ninja Blender Blade Replacement - B0F74TJH24,8,legacy,,CPC,ENABLED,"=""420118866620903""",SP Kw Ex Ninja Blender Blade Replacement - B0F74TJH24,ENABLED,B0F74TJH24,4C-RY24-QNAN,,,,Detail Page on-Amazon,Ninja Blender Blade Replacement,EXACT,ninja blender blade replacement,ninja blender blade replacement,0,,0,0,,,,,0,0.0,1,16.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,16.62,,1,,,16.95,1,0.0,
USD,"Jan 26, 2026",5,1,2026,7,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,222549613359669,B0F74TJH24 - Ninja Replacement Blades,"=""397916175530771""",SP Kw Br SS151 blade - B0F74TJH24,8,legacy,,CPC,ENABLED,"=""384719467250508""",SP Kw Br SS151 blade - B0F74TJH24,ENABLED,B0F74TJH24,4C-RY24-QNAN,,,,Top of Search on-Amazon,SS151 blade,BROAD,ninja blender blade replacement ss151,ninja blender blade replacement ss151,0,,0,0,,,,,0,0.0,1,16.95,1,0.0,,,,0,,0,0,0.0,0,,0,0,16.95,,1,,,16.95,1,0.0,
USD,"Jan 24, 2026",4,1,2026,14,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,206589068159462,B0F74RXW97 - Ninja Blender Blade Replacement for 72 oz Pitcher,"=""540379563866839""",Sp Kw Br - B0F74RXW97,5,legacy,,CPC,ENABLED,"=""359441389050999""",Sp Kw Br - B0F74RXW97,ENABLED,B0F74RXW97,MO-5EME-L6U2,,,,Top of Search on-Amazon,,,ninja blender replacement blades,ninja blender replacement blades,0,,0,0,,,,,0,0.0,1,17.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,17.66,,1,,,17.99,1,0.0,
USD,"Jan 20, 2026",4,1,2026,9,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Brands,220004347573435,SB - Product Collections Ketar,"=""426912518240951""",SB Prod Collection Paraffin Bags,10,unknown,,CPC,ENABLED,"=""553381897147793""",SB Prod Collection Paraffin Bags,ENABLED,,,,,,Top of Search on-Amazon,keywords-related-to-your-landing-pages,THEME,gloves for feet,gloves for feet,0,,0,0,,,,,0,0.0,1,8.39,1,0.0,,,,1,,1,0,0.0,0,,1,0,8.69,,1,,,8.39,1,0.0,
USD,"Jan 20, 2026",4,1,2026,16,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,135041252058689,B0FBRRRV8P - Ear Covers,"=""524220833177771""",SP Kw Tos - ear covers for shower - B0FBRRRV8P,15,legacy,,CPC,ENABLED,"=""474385609812229""",SP Kw - ear covers for shower - B0FBRRRV8P,ENABLED,B0FBRRRV8P,XL-RQXL-73BS,,,,Top of Search on-Amazon,ear covers for shower,EXACT,ear covers for shower,ear covers for shower,0,,0,0,,,,,0,0.0,1,8.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,8.65,,1,,,8.99,1,0.0,
CAD,"Jan 25, 2026",4,1,2026,16,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,187455897394742,B074T2FWJY - Tea Strainers for Loose Tea,"=""501450257308397""",Sp Kw Br tea+infuser - B074T2FWJY,5,legacy,,CPC,ENABLED,"=""309401773759839""",Sp Kw Br tea+infuser - B074T2FWJY,ENABLED,B074T2FWJY,VI-CRJN-K0RB,,,,Top of Search on-Amazon,tea+infuser,EXACT,tea infuser,tea infuser,0,,0,0,,,,,0,0.0,1,16.99,1,0.0,,,,0,,0,0,0.0,0,,0,0,16.86,,1,,,16.99,1,0.0,
