Budget currency,Date,Week,Month,Year,Hour,Advertiser account ID,Advertiser account name,Ad product,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Campaign budget amount,Campaign delivery status,Campaign bid strategy,Campaign rule amount,Campaign cost type,Ad group ID,Ad group name,Ad group delivery status,Advertised product ID,Advertised product SKU,Placement Name,Placement size,Site or app,Placement classification,Target value,Target match type,Search term,Matched target,Impressions,Invalid impression rate,Clicks,Invalid clicks,Viewable CTR (vCTR),CTR,CPC,Viewable rate,Viewable impressions,Total cost,Purchases (all views),Sales (all views),Units sold (all views),Cost per purchase (all views),Purchase rate (all views),Purchase rate over clicks (all views),ROAS (all views),Purchases (new to brand),Purchase rate (new to brand),Detail page views,"Purchases (halo, all views)","Sales (halo, all views)","Units sold (halo, all views)",Detail page view rate,Add to cart,Add to list,Long-term sales,Long-term ROAS,Purchases (combined),ROAS (combined),ROAS from clicks (combined),Sales (combined),Units sold (combined),Cost per purchase (combined),Purchase rate (combined)
USD,"Jan 21, 2026",4,1,2026,11,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,264568669930856,Scavenger Smile,"=""299362373048865""",SP Kw Scavenger Smile,10,ENABLED,legacy,1500000,CPC,"=""401774250700970""",SP Kw Scavenger,ENABLED,B0B6FYGWS1,IA-0988-99K2,UNKNOWN,,Unknown,Detail Page on-Amazon,cute set,BROAD,safari ltd,safari ltd,1,0.0%,1,0,,100.0%,0.1,,0,0.1,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 21, 2026",4,1,2026,14,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,70692716392228,B08PFP1P1H - Red Crabs,"=""389216837807914""",Sp Auto Ros - B08PFP1P1H,5,ENABLED,legacy,,CPC,"=""387156008701962""",Auto,ENABLED,B08PFP1P1H,IK-4CG8-4UX1,UNKNOWN,,Unknown,Other on-Amazon,loose-match,TARGETING_EXPRESSION_PREDEFINED,sausage decorations,sausage decorations,2,0.0%,1,0,,50.0%,0.3,,0,0.3,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 25, 2026",4,1,2026,16,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,197265869679869,B08V7GSSYS - Defrosting Tray,"=""435260964398226""",Sp Kw Ex- meat defrosting tray - B08V7GSSYS,7,ENABLED,legacy,,CPC,"=""556252632250666""",Sp Kw Phr- meat defrosting tray - B08V7GSSYS,ENABLED,B08V7GSSYS,RM-7ZKA-A5LD,UNKNOWN,,Unknown,Top of Search on-Amazon,meat defrosting tray,EXACT,meat defrosting tray,meat defrosting tray,3,25.0%,1,0,,33.3333%,0.48,,0,0.48,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 22, 2026",4,1,2026,21,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,183465943838049,B073VH6FRJ - Black Mesh Bags Drawstring 5,"=""93448864284172""",SP Auto Low bid - B073VH6FRJ,5,ENABLED,legacy,,CPC,"=""188992017928180""",Ad group,ENABLED,B073VH6FRJ,YY-8BE8-9EIL,UNKNOWN,,Unknown,Detail Page on-Amazon,loose-match,TARGETING_EXPRESSION_PREDEFINED,mesh swim bag,mesh swim bag,1,50.0%,1,0,,100.0%,0.3,,0,0.3,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 25, 2026",4,1,2026,19,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,273587567594476,B08PKPR7LP - 8Pcs Cocktail Spoon Long,"=""322462466565877""",Sp Pt B086YGF75J - B08PKPR7LP,12,ENABLED,legacy,,CPC,"=""311671264750557""",Sp Pt B086YGF75J - B08PKPR7LP,ENABLED,B08PKPR7LP,TY-Q1XV-A8N7,UNKNOWN,,Unknown,Other on-Amazon,"asin=""B086YGF75J""",TARGETING_EXPRESSION,B086YGF75J,B086YGF75J,117,25.0%,1,0,,0.8547%,0.7,,0,0.7,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 21, 2026",4,1,2026,18,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,258730673842577,B0917J3DBG - Hose Clamp Pliers,"=""544496094566361""",SP Kw Ex hose clamp tool - B0917J3DBG,10,ENABLED,legacy,1500000,CPC,"=""453188161856545""",Exact,ENABLED,B0917J3DBG,ZP-NXDK-UGDV,UNKNOWN,,Unknown,Top of Search on-Amazon,hose clamp tool,EXACT,hose clamp tool,hose clamp tool,5,16.6667%,1,0,,20.0%,0.72,,0,0.72,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 26, 2026",5,1,2026,23,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,137886423153913,B0776QYR57 - Nail Swatch Sticks 200Pcs,"=""462396908340020""",SPV Kw Ex Tos Ros- nail swatch stick - B0776QYR57,25,ENABLED,legacy,3750000,CPC,"=""540171739194466""",B0776QYR57-SP-Ext-nail swatch stick,ENABLED,B0776QYR57,JA-2HQA-0I4J,UNKNOWN,,Unknown,Top of Search on-Amazon,nail swatch stick,EXACT,nail swatch sticks,nail swatch sticks,5,37.5%,1,0,,20.0%,0.51,,0,0.51,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 25, 2026",4,1,2026,21,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,137886423153913,B0776QYR57 - Nail Swatch Sticks 200Pcs,"=""546481812728078""",Sp KW Ex Tos Ros - nail polish swatches - B0776QYR57,10,ENABLED,manual,,CPC,"=""417013540053508""",Sp KW Ex - nail polish swatches - B0776QYR57,ENABLED,B0776QYR57,JA-2HQA-0I4J,UNKNOWN,,Unknown,Top of Search on-Amazon,nail polish swatches,EXACT,nail polish swatches,nail polish swatches,5,0.0%,1,0,,20.0%,0.52,,0,0.52,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 25, 2026",4,1,2026,16,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,151517480097056,B0CMQY8L5X - 100 Pcs Cross Nail Charms,"=""556268532373027""",Sp Kw Ex - cross nail charms - B0CMQY8L5X,3,ENABLED,legacy,,CPC,"=""399187761195201""",Sp Kw Ex Ros - cross nail charms - B0CMQY8L5X,ENABLED,B0CMQY8L5X,YV-O0SE-7QIF,UNKNOWN,,Unknown,Other on-Amazon,cross nail charms,EXACT,cross nail charms,cross nail charms,7,12.5%,1,0,,14.2857%,0.0,,0,0.0,0,0.0,0,,0.0%,0.0%,,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,,0,,,0.0,0,,0.0%
USD,"Jan 25, 2026",4,1,2026,13,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,264568669930856,Scavenger Smile,"=""299362373048865""",SP Kw Scavenger Smile,10,ENABLED,legacy,1500000,CPC,"=""401774250700970""",SP Kw Scavenger,ENABLED,B09ZHSVH6B,V0-UZZX-Y65R,UNKNOWN,,Unknown,Detail Page on-Amazon,stainless steel,BROAD,stainless steel butter spreader,stainless steel butter spreader,1,0.0%,1,0,,100.0%,0.1,,0,0.1,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
